Date,Open,High,Low,Close,Volume,Personal Saving %,Close/Last
2018-08-30,289.752991,291.243011,275.210999,284.105011,1513100000,7.6,2901.13
2018-08-31,284.119995,284.550995,278.513,283.003998,1411910000,7.6,2901.52
2018-09-04,289.296997,291.579987,284.255005,285.722992,1554870000,7.6,2896.72
2018-09-05,286.045013,288.162994,232.330994,232.330994,2390390000,7.6,2888.6
2018-09-06,231.647995,231.755005,218.123001,230.214996,2097310000,7.6,2878.05
2018-09-07,229.535004,233.895996,217.074997,217.203003,1678260000,7.6,2871.68
2018-09-10,197.850998,201.882996,189.584,197.078995,1502960000,7.6,2877.13
2018-09-11,198.177002,198.505997,180.595993,185.065994,1568900000,7.6,2887.89
2018-09-12,185.423004,185.587006,170.257004,183.330994,1874850000,7.6,2888.92
2018-09-13,183.679001,214.001999,183.679001,211.354004,2330720000,7.6,2904.18
2018-09-14,212.669006,222.794006,204.871002,211.748993,2232190000,7.6,2904.98
2018-09-17,221.582001,224.261002,195.307999,197.875,2019910000,7.6,2888.8
2018-09-18,197.095001,213.356995,195.934006,209.975006,1800640000,7.6,2904.31
2018-09-19,209.472,213.871002,201.656006,209.968994,1733330000,7.6,2907.95
2018-09-20,210.287994,224.817993,207.789001,224.591003,1782070000,7.6,2930.75
2018-09-21,225.251007,248.388,221.567001,246.584,2836200000,7.6,2929.67
2018-09-24,244.843994,245.108002,227.490005,228.729996,1748740000,7.6,2919.37
2018-09-25,228.326996,228.326996,206.490005,218.505005,2120360000,7.6,2915.56
2018-09-26,218.647003,221.436996,209.113007,215.847,1756100000,7.6,2905.97
2018-09-27,215.440002,230.606995,212.654007,228.494003,2030320000,7.6,2914.0
2018-09-28,229.041,231.748001,218.669006,222.401993,2018120000,7.6,2913.98
2018-10-01,233.220001,234.145004,226.945007,230.768005,1597500000,7.4,2924.59
2018-10-02,231.100006,231.167007,225.837997,227.181,1542080000,7.4,2923.43
2018-10-03,226.406998,226.457993,213.970993,220.488998,1683930000,7.4,2925.51
2018-10-04,220.445999,226.147995,220.089996,222.218002,1479500000,7.4,2901.61
2018-10-05,222.266998,228.319,220.957001,227.600998,1547330000,7.4,2885.57
2018-10-08,226.509003,230.764999,224.557007,229.255005,1470740000,7.4,2884.43
2018-10-09,229.710007,230.160995,226.401001,227.981995,1405130000,7.4,2880.34
2018-10-10,227.615005,227.707001,224.494995,225.768997,1384040000,7.4,2785.68
2018-10-11,225.610001,225.610001,189.283005,189.498993,2167620000,7.4,2728.37
2018-10-12,188.707001,199.401001,188.707001,196.727005,1487900000,7.4,2767.13
2018-10-15,195.270004,222.117996,194.158997,209.703995,2865830000,7.4,2750.79
2018-10-16,209.628006,212.173004,207.983994,210.119995,1532280000,7.4,2809.92
2018-10-17,210.216995,211.125,205.927994,207.082993,1444130000,7.4,2809.21
2018-10-18,207.404007,208.470001,201.742996,203.352005,1365860000,7.4,2768.78
2018-10-19,203.257004,204.662994,201.843994,203.727005,1264480000,7.4,2767.78
2018-10-22,205.173996,206.932007,203.376999,204.044006,1328980000,7.4,2755.88
2018-10-23,204.016006,205.151001,201.910995,204.335999,1237490000,7.4,2740.69
2018-10-24,204.126999,205.580994,203.354004,203.852005,1102220000,7.4,2656.1
2018-10-25,203.867996,204.132004,201.822998,202.718994,1102900000,7.4,2705.57
2018-10-26,202.335999,204.779999,201.550995,203.328995,1161310000,7.4,2658.69
2018-10-29,205.173996,205.597,195.733994,197.246994,1517230000,7.4,2641.25
2018-10-30,197.203003,198.121994,196.350998,197.556,1363500000,7.4,2682.63
2018-10-31,197.649002,198.337997,196.531006,197.380997,1442380000,7.4,2711.74
2018-11-01,197.537003,203.753998,197.328003,198.871994,1336700000,7.2,2740.37
2018-11-02,198.981995,201.268997,198.755005,200.634995,1451870000,7.2,2723.06
2018-11-05,207.100006,210.819,206.572998,209.091003,1613510000,7.2,2738.31
2018-11-06,209.473999,218.451996,207.893997,218.451996,1856940000,7.2,2755.45
2018-11-07,218.899002,221.651993,216.796005,217.182999,1927830000,7.2,2813.89
2018-11-08,217.326996,218.337997,212.199005,212.231003,1769080000,7.2,2806.83
2018-11-09,211.987,213.315994,209.514999,210.074005,1554750000,7.2,2781.01
2018-11-12,211.513,212.623001,208.923996,210.417999,1452380000,7.2,2726.22
2018-11-13,210.149002,210.514999,206.134995,206.826004,1610260000,7.2,2722.18
2018-11-14,206.533997,207.044998,174.084,181.397003,2595330000,7.2,2701.58
2018-11-15,181.899002,184.251007,170.188995,180.806,2638410000,7.2,2730.2
2018-11-16,180.865005,181.350006,173.126007,175.177002,2015330000,7.2,2736.27
2018-11-19,177.179001,177.179001,147.850998,149.175003,2745160000,7.2,2690.73
2018-11-20,148.811005,151.253006,126.360001,130.339005,3134410000,7.2,2641.89
2018-11-21,131.141998,138.889999,125.758003,136.701004,2685930000,7.2,2649.93
2018-11-23,126.418999,127.028,119.558998,123.295998,1998010000,7.2,2632.56
2018-11-26,116.343002,118.200996,104.892998,108.334999,2139490000,7.2,2673.45
2018-11-27,107.913002,111.842003,102.452003,110.010002,2320010000,7.2,2682.17
2018-11-28,110.197998,126.047997,110.197998,122.438004,2673470000,7.2,2743.79
2018-11-29,122.72155,123.229721,115.297691,117.542648,2196099151,7.2,2737.76
2018-11-30,117.728096,119.423767,111.744965,113.171417,2020748396,7.2,2760.17
2018-12-03,116.378761,116.619064,107.415657,108.925018,1772756193,9.0,2790.37
2018-12-04,108.803162,113.142914,107.402718,110.214188,1748116495,9.0,2700.06
2018-12-06,102.450592,104.103493,91.761055,91.761055,2310716932,9.0,2695.95
2018-12-07,91.649834,96.089844,83.469719,93.294563,2554304530,9.0,2633.08
2018-12-10,94.992172,96.257301,90.654251,91.685654,1756437577,9.0,2637.72
2018-12-11,91.578934,92.782326,87.688408,88.945305,1707497898,9.0,2636.78
2018-12-12,88.610703,92.240555,88.263557,90.5933,1533050103,9.0,2651.07
