date,Day of Year,id,nlikes,nretweets,compound,neg,neu,pos
2019-03-11,70.0,1.1051448981548634e+18,2.688956433637285,0.7312563323201621,0.1248811803444782,0.027063069908814588,0.9058128166160081,0.0671258865248227
2019-03-12,71.0,1.1054777095063075e+18,3.5766921397379914,0.9781659388646288,0.11157150655021834,0.036812772925764195,0.8954527838427947,0.0677393558951965
2019-03-14,73.0,1.1062405945898994e+18,1.9547936893203883,0.5716019417475728,0.14760476334951456,0.025047936893203886,0.9038680218446602,0.07108495145631068
2019-03-15,74.0,1.1065978630908951e+18,2.3376506024096386,0.9587349397590361,0.14305846385542167,0.026894578313253013,0.8994084337349397,0.07369698795180724
2019-03-16,75.0,1.1069610523131663e+18,1.9490358126721763,0.5829889807162535,0.14528388429752068,0.02110020661157025,0.9111015840220386,0.06780268595041322
2019-03-17,76.0,1.107322199784065e+18,2.817467797675149,0.924913603518693,0.16962299717247878,0.024514608859566446,0.8915771284951304,0.08391548853283066
2019-03-18,77.0,1.1076762964142387e+18,2.1855414210363016,0.6292274278622402,0.14497396835246665,0.02294042817251008,0.9096974868135278,0.06736270555383184
2019-03-19,78.0,1.1080406134326829e+18,2.4987886129618415,0.7601453664445791,0.16243543307086614,0.01978861296184131,0.9087125984251968,0.07149939430648092
2019-03-20,79.0,1.1084193722886463e+18,2.247680412371134,0.7097938144329897,0.16081708762886596,0.019882731958762886,0.9092373711340206,0.07088556701030928
2019-03-21,80.0,1.1087690039478796e+18,1.6452574525745258,0.8373983739837398,0.1767118970189702,0.020280487804878046,0.8990086720867209,0.08071111111111111
2019-03-22,81.0,1.109132470582761e+18,2.2882228277323646,0.667574931880109,0.175564910687254,0.022491371480472297,0.9002322131395701,0.07727429609445959
2019-03-23,82.0,1.1094905183499218e+18,1.586300440827399,0.5161071549677857,0.17447392336385215,0.01978806375042387,0.9030783316378433,0.07713801288572397
2019-03-24,83.0,1.1098563713963409e+18,2.331800766283525,0.8065134099616859,0.17090789272030651,0.022361302681992337,0.9024337164750957,0.07520498084291187
2019-03-25,84.0,1.1102265010269096e+18,2.484023668639053,0.5807692307692308,0.18125494082840238,0.01953431952662722,0.8985298816568047,0.08193284023668639
2019-03-26,85.0,1.1105776330892376e+18,2.440993788819876,0.9947204968944099,0.15483192546583852,0.024777639751552796,0.9012465838509317,0.07397267080745341
2019-03-27,86.0,1.1109454033679753e+18,2.3684701492537314,0.7276119402985075,0.14369735696517413,0.025188432835820895,0.903639303482587,0.07117164179104478
2019-03-28,87.0,1.1113041585443694e+18,2.181735436893204,0.6878033980582524,0.15801978155339808,0.028101941747572814,0.8938391990291262,0.07806158980582524
2019-03-29,88.0,1.1116669598852602e+18,1.846420323325635,0.5906466512702079,0.1400349595842956,0.02734555427251732,0.9035331986143187,0.06912384526558892
2019-03-30,89.0,1.1120236769047043e+18,2.3334557473374953,0.7330150569225119,0.13909412412780023,0.027264414248990083,0.9041189864120456,0.06861623209695189
2019-03-31,90.0,1.1123991162836288e+18,1.8546176046176046,0.43975468975468973,0.17060054112554113,0.02412914862914863,0.898686507936508,0.07718614718614719
2019-04-01,91.0,1.112755210319172e+18,3.5892589258925893,0.9282928292829283,0.1490112211221122,0.02883948394839484,0.895096609660966,0.07606630663066306
2019-04-02,92.0,1.1131097232394102e+18,2.3846866316764435,0.8490274776165483,0.17498903982710712,0.018465884532263045,0.9067872800246989,0.07474590923124422
2019-04-03,93.0,1.1134798574162506e+18,2.284882027381299,0.6542382755607341,0.1625781532187591,0.016795222837168656,0.9151369064957763,0.06806408389163997
2019-04-04,94.0,1.1138396547762903e+18,3.035160905840286,1.068533969010727,0.16616582240762814,0.02181197854588796,0.9036668653158523,0.07452294398092968
2019-04-05,95.0,1.1142075877810372e+18,2.2371738493110525,0.6097918498973908,0.15352559366754617,0.017006156552330697,0.9149032541776605,0.06809264145411903
2019-04-06,96.0,1.1145639321746523e+18,1.6630012936610608,0.5384864165588615,0.16308593143596378,0.018276520051746445,0.9083467011642951,0.0733761319534282
2019-04-07,97.0,1.1149421239032166e+18,2.134381898454746,0.641832229580574,0.1379741169977925,0.022857891832229582,0.9108493377483444,0.06629828918322296
